MUNICIPIO_CODIGO;ANO;MES;TIPO_EQP;TOTAL_EQUIPES
110020;2015;12;1;21
110020;2016;12;1;18
110020;2017;12;1;25
110020;2017;12;4;1
110020;2018;12;1;32
110020;2019;12;1;28
110020;2020;12;1;3
110020;2020;12;70;86
110020;2020;12;76;7
110020;2021;12;1;2
110020;2021;12;70;90
110020;2021;12;76;10
110020;2022;12;1;2
110020;2022;12;70;92
110020;2022;12;76;15
110025;2013;12;4;1
110025;2014;12;4;1
110025;2015;12;1;3
110025;2015;12;4;1
110025;2016;12;1;1
110025;2016;12;4;1
110025;2017;12;1;3
110025;2017;12;4;1
110025;2018;12;4;1
110025;2019;12;4;1
110025;2020;12;4;1
110025;2020;12;70;7
110025;2021;12;4;1
110025;2021;12;70;7
110025;2022;12;4;1
110025;2022;12;70;7
110026;2014;12;1;2
110026;2015;12;1;1
110026;2016;12;1;1
110026;2017;12;4;1
110026;2018;12;1;1
110026;2019;12;1;1
110026;2020;12;70;2
110026;2021;12;70;2
110026;2022;12;70;2
110028;2013;12;1;7
110028;2013;12;4;1
110028;2014;12;1;9
110028;2015;12;1;9
110028;2016;12;1;9
110028;2017;12;1;8
110028;2018;12;1;9
110028;2019;12;1;9
110028;2020;12;70;14
110028;2021;12;70;15
110028;2022;12;70;15
110029;2013;12;4;1
110029;2014;12;1;2
110029;2015;12;1;2
110029;2016;12;1;2
110029;2017;12;1;2
110029;2018;12;1;3
110029;2019;12;1;3
110029;2020;12;70;4
110029;2021;12;70;4
110029;2022;12;70;4
110030;2013;12;1;10
110030;2014;12;1;28
110030;2015;12;1;19
110030;2016;12;1;20
110030;2017;12;1;21
110030;2018;12;1;20
110030;2019;12;1;20
110030;2020;12;70;25
110030;2021;12;70;25
110030;2022;12;70;26
110030;2022;12;76;2
110032;2013;12;1;1
110032;2014;12;1;1
110032;2015;12;1;1
110032;2016;12;4;1
110032;2017;12;1;1
110032;2018;12;1;1
110032;2019;12;1;1
110032;2020;12;70;4
110032;2021;12;70;4
110032;2022;12;70;4
110033;2013;12;1;3
110033;2014;12;1;5
110033;2015;12;1;4
110033;2016;12;1;5
110033;2017;12;1;5
110033;2018;12;1;5
110033;2019;12;1;5
110033;2020;12;70;7
110033;2021;12;70;7
110033;2022;12;70;7
110034;2013;12;1;3
110034;2013;12;4;2
110034;2014;12;1;2
110034;2014;12;4;2
110034;2015;12;1;3
110034;2015;12;4;2
110034;2016;12;1;3
110034;2016;12;4;2
110034;2017;12;1;3
110034;2017;12;4;2
110034;2018;12;1;2
110034;2018;12;4;2
110034;2019;12;1;2
