MUNICIPIO_CODIGO;MES_ANO;CAUSABAS;TOTAL_OBITOS
110004.0;02-2014;F14;1
110004.0;03-2014;F10;1
110004.0;06-2014;F10;1
110004.0;12-2014;F10;1
110012.0;09-2014;F10;1
110014.0;01-2014;F10;1
110014.0;09-2014;F10;1
110020.0;03-2014;F10;1
110020.0;05-2014;F10;2
110020.0;06-2014;F10;1
110020.0;07-2014;F10;1
110020.0;09-2014;F10;1
110020.0;10-2014;F10;1
110020.0;11-2014;F10;2
110020.0;12-2014;F10;1
110020.0;12-2014;F19;1
110030.0;01-2014;F10;1
110030.0;02-2014;F10;1
110030.0;09-2014;F10;1
110030.0;11-2014;F10;1
110045.0;07-2014;F10;1
110045.0;11-2014;F10;1
110120.0;09-2014;F10;1
110130.0;03-2014;F10;1
120020.0;05-2014;F10;1
120020.0;12-2014;F10;2
120039.0;06-2014;F10;1
120040.0;01-2014;F10;1
120040.0;01-2014;F14;1
120040.0;03-2014;F10;2
120040.0;05-2014;F19;1
120040.0;06-2014;F10;1
120040.0;07-2014;F10;1
120040.0;09-2014;F10;1
120040.0;10-2014;F10;3
120040.0;11-2014;F10;1
120040.0;12-2014;F19;1
120050.0;01-2014;F10;1
120060.0;10-2014;F10;1
120070.0;01-2014;F10;1
120070.0;02-2014;F10;1
120070.0;09-2014;F10;1
130002.0;10-2014;F10;1
130030.0;05-2014;F10;1
130030.0;06-2014;F10;1
130040.0;05-2014;F10;1
130070.0;09-2014;F10;1
130080.0;09-2014;F10;1
130083.0;04-2014;F10;1
130120.0;10-2014;F10;1
130130.0;09-2014;F10;1
130140.0;03-2014;F10;1
130140.0;07-2014;F10;1
130140.0;09-2014;F10;1
130140.0;12-2014;F10;1
130150.0;11-2014;F10;1
130150.0;12-2014;F10;1
130190.0;05-2014;F10;1
130190.0;08-2014;F10;1
130190.0;10-2014;F10;1
130210.0;06-2014;F10;1
130250.0;09-2014;F10;1
130250.0;10-2014;F10;1
130260.0;01-2014;F10;1
130260.0;02-2014;F10;2
130260.0;03-2014;F10;1
130260.0;04-2014;F10;1
130260.0;04-2014;F14;1
130260.0;05-2014;F10;1
130260.0;06-2014;F10;2
130260.0;07-2014;F10;4
130260.0;09-2014;F10;2
130260.0;12-2014;F14;1
130270.0;02-2014;F10;1
130270.0;06-2014;F10;1
130310.0;08-2014;F10;1
130330.0;06-2014;F10;1
130340.0;01-2014;F10;1
130353.0;02-2014;F10;1
130360.0;06-2014;F10;1
130370.0;03-2014;F10;1
130380.0;04-2014;F10;1
130406.0;05-2014;F10;1
130410.0;02-2014;F10;1
130420.0;05-2014;F10;1
