MUNICIPIO_CODIGO;MES_ANO;CAUSABAS;TOTAL_OBITOS
110002.0;05-2015;F10;1
110004.0;01-2015;F10;1
110004.0;04-2015;F10;1
110004.0;04-2015;F14;1
110004.0;08-2015;F10;1
110004.0;08-2015;F14;1
110004.0;09-2015;F10;2
110004.0;11-2015;F10;1
110005.0;03-2015;F10;1
110012.0;03-2015;F10;1
110014.0;12-2015;F10;1
110018.0;01-2015;F10;1
110020.0;01-2015;F10;2
110020.0;01-2015;F14;1
110020.0;04-2015;F14;1
110020.0;05-2015;F10;1
110020.0;06-2015;F14;1
110020.0;08-2015;F10;1
110020.0;09-2015;F10;2
110020.0;10-2015;F10;1
110020.0;11-2015;F10;4
110028.0;11-2015;F10;1
110030.0;01-2015;F10;1
110030.0;02-2015;F10;1
110030.0;05-2015;F10;1
110030.0;08-2015;F10;1
110030.0;09-2015;F10;1
110034.0;06-2015;F10;1
110034.0;10-2015;F10;1
110045.0;10-2015;F10;1
120010.0;03-2015;F10;1
120020.0;06-2015;F10;1
120020.0;07-2015;F10;1
120020.0;08-2015;F10;1
120020.0;11-2015;F10;1
120034.0;06-2015;F10;1
120039.0;07-2015;F10;1
120039.0;11-2015;F10;1
120040.0;02-2015;F10;1
120040.0;03-2015;F10;1
120040.0;03-2015;F19;1
120040.0;04-2015;F10;1
120040.0;05-2015;F10;2
120040.0;07-2015;F19;1
120040.0;09-2015;F19;3
120040.0;10-2015;F19;1
120040.0;12-2015;F11;1
120042.0;10-2015;F10;1
120045.0;05-2015;F10;1
120050.0;01-2015;F10;1
120060.0;11-2015;F10;1
120080.0;06-2015;F10;1
130030.0;03-2015;F10;1
130030.0;12-2015;F10;1
130080.0;11-2015;F10;1
130120.0;02-2015;F10;1
130120.0;03-2015;F10;1
130120.0;04-2015;F10;1
130130.0;07-2015;F10;1
130140.0;04-2015;F10;1
130140.0;05-2015;F10;1
130140.0;06-2015;F10;1
130140.0;08-2015;F10;1
130140.0;09-2015;F10;1
130140.0;11-2015;F10;1
130150.0;10-2015;F10;1
130150.0;11-2015;F10;2
130185.0;08-2015;F10;1
130190.0;01-2015;F10;1
130240.0;09-2015;F10;1
130250.0;08-2015;F10;1
130260.0;01-2015;F10;1
130260.0;01-2015;F19;1
130260.0;02-2015;F10;2
130260.0;03-2015;F10;1
130260.0;05-2015;F10;2
130260.0;05-2015;F14;1
130260.0;06-2015;F10;1
130260.0;06-2015;F19;1
130260.0;07-2015;F19;1
130260.0;08-2015;F10;3
130260.0;09-2015;F10;2
130260.0;10-2015;F10;1
130260.0;11-2015;F10;2
130270.0;09-2015;F10;1
130340.0;02-2015;F10;1
130340.0;03-2015;F10;1
130356.0;01-2015;F10;1
130390.0;08-2015;F10;1
130420.0;06-2015;F10;1
130420.0;08-2015;F10;1
140010.0;11-2015;F10;1
140040.0;06-2015;F10;1
140045.0;09-2015;F10;1
140047.0;12-2015;F10;1
150010.0;05-2015;F10;1
150020.0;04-2015;F10;1
150060.0;02-2015;F10;1
150060.0;03-2015;F16;1
150060.0;05-2015;F10;1
150060.0;06-2015;F10;1
150080.0;01-2015;F10;1
150080.0;03-2015;F10;1
150080.0;05-2015;F19;1
150080.0;10-2015;F10;1
150140.0;01-2015;F10;1
150140.0;03-2015;F10;1
150140.0;04-2015;F14;1
150140.0;05-2015;F10;1
150140.0;06-2015;F10;3
150140.0;07-2015;F19;1
150140.0;08-2015;F10;1
150140.0;10-2015;F10;1
150140.0;11-2015;F10;1
150170.0;09-2015;F10;1
150210.0;11-2015;F10;2
150240.0;03-2015;F10;1
150240.0;10-2015;F10;1
150240.0;12-2015;F10;1
150270.0;06-2015;F16;1
150277.0;02-2015;F19;1
150293.0;10-2015;F10;1
150293.0;11-2015;F19;1
150307.0;09-2015;F10;1
150307.0;10-2015;F10;1
150307.0;12-2015;F10;1
150360.0;03-2015;F10;1
150360.0;05-2015;F10;1
150360.0;07-2015;F10;2
150360.0;10-2015;F10;1
150360.0;12-2015;F10;1
150370.0;12-2015;F10;1
150375.0;10-2015;F19;1
150390.0;11-2015;F10;1
150410.0;04-2015;F19;1
150420.0;01-2015;F10;1
150420.0;02-2015;F10;2
150420.0;09-2015;F10;1
150420.0;09-2015;F13;1
150442.0;01-2015;F10;1
150445.0;05-2015;F10;1
150497.0;10-2015;F10;1
150510.0;03-2015;F10;1
150543.0;05-2015;F10;1
150548.0;06-2015;F10;1
150548.0;06-2015;F19;1
150550.0;07-2015;F10;1
150553.0;04-2015;F10;1
150553.0;05-2015;F10;1
150553.0;07-2015;F10;1
150553.0;09-2015;F10;1
150553.0;12-2015;F10;2
150555.0;04-2015;F10;1
150618.0;12-2015;F10;1
150635.0;01-2015;F10;1
150635.0;09-2015;F10;1
150650.0;01-2015;F19;1
150658.0;06-2015;F10;1
150680.0;12-2015;F10;1
150720.0;05-2015;F10;1
150730.0;07-2015;F10;1
150745.0;09-2015;F10;1
150775.0;02-2015;F14;1
150775.0;11-2015;F10;1
150820.0;06-2015;F19;1
160030.0;02-2015;F10;2
160030.0;03-2015;F10;1
160030.0;04-2015;F10;1
160030.0;05-2015;F10;1
160060.0;11-2015;F10;2
170130.0;02-2015;F10;1
170210.0;04-2015;F10;1
170210.0;05-2015;F10;1
170210.0;07-2015;F10;1
170210.0;09-2015;F10;1
170210.0;10-2015;F10;2
170210.0;12-2015;F10;1
170220.0;01-2015;F10;1
170230.0;03-2015;F10;1
170230.0;07-2015;F10;1
170240.0;05-2015;F10;1
170240.0;08-2015;F10;1
170255.0;12-2015;F10;2
170550.0;02-2015;F10;1
170700.0;05-2015;F10;1
170700.0;09-2015;F10;1
170700.0;12-2015;F10;1
170710.0;05-2015;F10;1
170830.0;04-2015;F10;1
170930.0;02-2015;F10;2
170930.0;08-2015;F10;1
170930.0;10-2015;F10;1
170950.0;01-2015;F10;1
170950.0;07-2015;F10;1
170950.0;08-2015;F10;1
170950.0;09-2015;F10;1
170950.0;10-2015;F11;1
170950.0;11-2015;F10;1
170950.0;12-2015;F19;1
171250.0;07-2015;F10;1
171320.0;01-2015;F10;1
171320.0;03-2015;F10;1
171320.0;09-2015;F10;1
171420.0;09-2015;F19;1
171570.0;04-2015;F10;1
171575.0;02-2015;F10;1
171610.0;12-2015;F10;1
171780.0;02-2015;F10;1
171820.0;03-2015;F12;1
171886.0;10-2015;F10;1
172065.0;02-2015;F10;1
172080.0;08-2015;F10;1
172090.0;03-2015;F10;1
172090.0;09-2015;F10;1
172100.0;02-2015;F19;1
172100.0;03-2015;F10;1
172100.0;08-2015;F10;1
172100.0;10-2015;F10;1
172100.0;11-2015;F10;1
172100.0;11-2015;F14;1
172100.0;12-2015;F10;3
172120.0;05-2015;F10;1
172210.0;01-2015;F10;1
172210.0;03-2015;F10;1
172210.0;12-2015;F10;1
210000.0;08-2015;F10;1
210005.0;01-2015;F10;2
210005.0;05-2015;F10;1
210005.0;06-2015;F10;1
210005.0;07-2015;F10;1
210020.0;05-2015;F10;1
210020.0;11-2015;F10;1
210043.0;11-2015;F10;1
210047.0;02-2015;F10;1
210090.0;01-2015;F10;1
210090.0;02-2015;F10;1
210090.0;05-2015;F10;1
210090.0;06-2015;F10;1
210100.0;01-2015;F10;1
210120.0;01-2015;F12;1
210120.0;07-2015;F10;1
210120.0;08-2015;F10;1
210120.0;09-2015;F10;2
210140.0;07-2015;F10;1
210140.0;08-2015;F10;1
210170.0;03-2015;F10;3
210170.0;03-2015;F19;1
210170.0;04-2015;F10;1
210170.0;06-2015;F10;2
210170.0;09-2015;F10;1
210170.0;12-2015;F10;1
210177.0;06-2015;F10;1
210230.0;01-2015;F10;1
210230.0;09-2015;F10;1
210230.0;12-2015;F10;1
210270.0;05-2015;F10;1
210300.0;02-2015;F10;1
210300.0;07-2015;F10;1
210320.0;07-2015;F19;1
210330.0;06-2015;F10;1
210330.0;07-2015;F10;1
210350.0;05-2015;F10;1
210350.0;10-2015;F10;1
210360.0;01-2015;F10;1
210360.0;12-2015;F19;1
210370.0;04-2015;F19;1
210440.0;10-2015;F10;1
210450.0;08-2015;F10;1
210530.0;01-2015;F10;1
210530.0;03-2015;F10;2
