MUNICIPIO_CODIGO;MES_ANO;CAUSABAS;TOTAL_OBITOS
110004;10-2020;F10;1
110012;11-2020;F10;1
110020;03-2020;F10;1
110020;07-2020;F10;1
110020;07-2020;F11;1
110020;08-2020;F10;2
110020;08-2020;F19;2
110020;09-2020;F10;2
110020;09-2020;F19;1
110020;10-2020;F10;2
110020;11-2020;F10;2
110020;12-2020;F19;1
110030;03-2020;F19;1
110030;10-2020;F10;1
110080;05-2020;F10;1
120040;01-2020;F10;1
120040;02-2020;F10;1
120040;04-2020;F10;1
120040;05-2020;F10;1
120040;08-2020;F10;2
120040;09-2020;F10;2
120040;09-2020;F14;1
120040;10-2020;F19;1
120040;11-2020;F10;1
120040;12-2020;F10;1
120050;10-2020;F19;1
120060;02-2020;F10;1
120070;10-2020;F10;1
130010;12-2020;F10;1
130030;03-2020;F10;1
130120;07-2020;F10;1
130130;08-2020;F10;1
130140;01-2020;F10;1
130140;03-2020;F10;1
130140;08-2020;F10;1
130140;11-2020;F10;1
130140;12-2020;F10;1
130160;10-2020;F10;1
130170;02-2020;F19;1
130185;05-2020;F10;1
130185;07-2020;F10;1
130190;05-2020;F10;1
130250;11-2020;F10;1
130260;01-2020;F10;4
130260;02-2020;F10;2
130260;03-2020;F10;3
130260;04-2020;F10;4
130260;05-2020;F10;3
130260;06-2020;F10;5
130260;07-2020;F10;4
130260;08-2020;F10;1
130260;09-2020;F10;3
130260;10-2020;F10;3
130260;12-2020;F10;3
130310;05-2020;F10;1
130320;12-2020;F10;1
130330;02-2020;F10;1
130330;12-2020;F10;1
130340;01-2020;F10;1
130340;02-2020;F10;1
130340;05-2020;F10;1
130340;12-2020;F10;1
130353;01-2020;F10;1
130380;08-2020;F10;1
130380;12-2020;F10;1
130410;01-2020;F10;1
130420;04-2020;F10;1
130430;12-2020;F10;1
140010;01-2020;F10;1
140010;10-2020;F10;2
140010;11-2020;F19;1
140028;04-2020;F10;1
140028;12-2020;F10;1
140047;06-2020;F10;1
140047;09-2020;F10;1
150060;03-2020;F10;1
150060;04-2020;F10;2
150060;06-2020;F10;1
150060;08-2020;F10;1
150080;02-2020;F10;1
150080;04-2020;F10;1
150080;05-2020;F10;2
150080;11-2020;F10;1
150080;12-2020;F10;1
150125;06-2020;F10;1
150130;08-2020;F10;1
150140;01-2020;F10;2
150140;01-2020;F19;1
150140;02-2020;F10;1
150140;03-2020;F10;2
150140;04-2020;F18;1
150140;05-2020;F10;5
150140;07-2020;F10;1
150140;08-2020;F10;1
150140;10-2020;F10;1
150140;11-2020;F10;3
150140;12-2020;F10;1
150140;12-2020;F19;1
150157;01-2020;F10;1
150170;07-2020;F10;1
150170;08-2020;F19;1
150178;01-2020;F10;1
150195;07-2020;F14;1
150210;05-2020;F10;1
150220;09-2020;F10;1
150220;12-2020;F10;1
150220;12-2020;F12;1
150240;01-2020;F10;1
150240;03-2020;F10;1
150240;05-2020;F10;1
150240;07-2020;F10;1
150270;01-2020;F19;1
150285;06-2020;F12;1
150293;05-2020;F10;1
150293;11-2020;F10;2
150320;03-2020;F19;1
150360;09-2020;F10;1
150370;02-2020;F10;1
150370;03-2020;F10;1
150380;01-2020;F10;1
150380;06-2020;F10;1
150380;07-2020;F10;1
150380;09-2020;F10;1
150380;12-2020;F10;1
150390;02-2020;F10;1
150420;05-2020;F10;1
150420;08-2020;F10;1
150420;11-2020;F10;2
150442;10-2020;F10;1
150442;12-2020;F10;1
150503;06-2020;F10;1
150503;07-2020;F10;1
150503;09-2020;F10;1
150506;04-2020;F10;1
150510;03-2020;F10;1
150510;06-2020;F10;1
150548;02-2020;F10;1
150550;04-2020;F10;1
150550;05-2020;F10;1
150550;08-2020;F10;1
150550;10-2020;F10;3
150550;12-2020;F10;1
150553;03-2020;F10;1
150553;09-2020;F10;1
150560;02-2020;F10;1
150616;12-2020;F10;1
150618;10-2020;F10;1
150620;08-2020;F10;1
150635;02-2020;F10;1
150650;04-2020;F10;1
150650;11-2020;F10;1
150680;04-2020;F10;1
150680;05-2020;F10;1
150680;06-2020;F10;2
