MUNICIPIO_CODIGO;MES_ANO;CAUSABAS;TOTAL_OBITOS
110003;02-2019;F10;1
110004;03-2019;F10;1
110004;04-2019;F10;2
110004;06-2019;F10;1
110006;10-2019;F10;1
110010;11-2019;F10;1
110011;05-2019;F10;1
110012;01-2019;F10;1
110018;12-2019;F10;1
110020;03-2019;F10;2
110020;03-2019;F19;1
110020;04-2019;F10;2
110020;06-2019;F10;2
110020;07-2019;F10;2
110020;08-2019;F10;2
110020;09-2019;F10;2
110020;11-2019;F10;1
110020;12-2019;F10;2
110020;12-2019;F19;1
110029;11-2019;F10;1
110030;05-2019;F10;1
110149;01-2019;F10;1
120020;04-2019;F14;1
120040;01-2019;F10;2
120040;03-2019;F14;1
120040;05-2019;F14;1
120040;06-2019;F10;3
120040;09-2019;F14;1
120040;10-2019;F10;1
120040;10-2019;F19;1
120040;11-2019;F14;1
120045;08-2019;F10;1
120050;06-2019;F10;1
120050;09-2019;F10;1
120060;05-2019;F10;1
120070;03-2019;F10;1
120070;12-2019;F10;1
130030;03-2019;F10;1
130068;07-2019;F10;1
130080;10-2019;F10;1
130150;05-2019;F10;1
130180;06-2019;F10;1
130230;03-2019;F10;1
130260;01-2019;F10;2
130260;02-2019;F10;2
130260;03-2019;F10;3
130260;04-2019;F10;1
130260;05-2019;F10;1
130260;06-2019;F10;2
130260;07-2019;F10;3
130260;08-2019;F10;1
130260;10-2019;F10;2
130260;11-2019;F10;2
130260;12-2019;F10;4
130290;12-2019;F10;1
130320;11-2019;F10;1
130340;09-2019;F10;1
130340;12-2019;F10;2
130360;12-2019;F10;1
130380;06-2019;F10;1
130420;11-2019;F10;1
130430;09-2019;F10;1
140010;07-2019;F19;1
140010;08-2019;F10;1
140017;04-2019;F10;1
140017;06-2019;F10;1
150010;08-2019;F10;1
150013;04-2019;F10;1
150013;10-2019;F10;1
150040;02-2019;F10;1
150060;11-2019;F10;2
150060;12-2019;F10;1
150080;04-2019;F10;1
150080;09-2019;F10;2
150080;10-2019;F10;1
150085;10-2019;F10;1
150090;07-2019;F10;1
150140;01-2019;F10;1
150140;02-2019;F10;2
150140;04-2019;F10;1
150140;05-2019;F10;1
150140;06-2019;F10;3
150140;08-2019;F10;1
150140;08-2019;F14;1
150140;11-2019;F10;1
150140;12-2019;F18;1
150145;03-2019;F10;1
150157;07-2019;F10;1
150190;10-2019;F10;1
150210;02-2019;F19;1
150210;04-2019;F10;1
150210;09-2019;F19;1
150240;03-2019;F10;1
150240;05-2019;F10;2
150270;07-2019;F19;1
150277;03-2019;F10;1
150293;02-2019;F10;1
150304;11-2019;F10;1
150320;03-2019;F10;1
150350;03-2019;F10;1
150360;02-2019;F10;2
150360;04-2019;F10;2
150360;05-2019;F10;1
150360;06-2019;F10;1
150360;08-2019;F10;1
150375;05-2019;F10;1
150380;05-2019;F10;1
150380;07-2019;F10;1
150390;03-2019;F10;1
150390;05-2019;F10;2
150420;08-2019;F10;1
150420;09-2019;F10;1
150420;11-2019;F10;1
150420;12-2019;F10;1
150430;01-2019;F10;1
150442;01-2019;F19;1
150503;02-2019;F10;1
150510;10-2019;F10;2
150550;06-2019;F10;1
150553;03-2019;F10;1
150553;07-2019;F10;1
150553;10-2019;F10;1
150570;12-2019;F10;1
150613;01-2019;F10;1
150613;07-2019;F10;1
150616;07-2019;F10;1
150635;05-2019;F10;1
150635;10-2019;F10;1
150650;02-2019;F10;1
150650;04-2019;F10;1
150650;10-2019;F10;1
150670;01-2019;F10;1
150670;05-2019;F10;1
150670;09-2019;F10;1
150680;12-2019;F10;1
150715;01-2019;F12;1
150720;11-2019;F10;1
150750;11-2019;F10;1
150808;11-2019;F10;1
150808;12-2019;F10;1
150812;11-2019;F10;2
150815;07-2019;F10;1
150830;12-2019;F10;1
160030;01-2019;F10;1
160030;02-2019;F10;2
160030;07-2019;F10;1
160030;09-2019;F10;3
160030;11-2019;F10;1
160060;08-2019;F10;1
170105;08-2019;F10;1
170200;08-2019;F10;1
170210;01-2019;F10;3
170210;04-2019;F16;1
170210;07-2019;F10;1
170210;10-2019;F10;1
170210;11-2019;F10;1
170210;12-2019;F10;1
170240;07-2019;F10;1
170240;08-2019;F10;1
170255;02-2019;F10;2
170550;05-2019;F19;1
170550;06-2019;F10;1
170700;01-2019;F10;1
170740;05-2019;F10;3
170740;11-2019;F10;1
170740;12-2019;F10;1
170765;10-2019;F10;1
170820;04-2019;F10;1
170930;03-2019;F10;1
170930;07-2019;F10;1
170930;11-2019;F18;1
170950;01-2019;F10;2
170950;03-2019;F10;2
170950;06-2019;F10;1
170950;07-2019;F10;1
170950;09-2019;F10;1
170950;10-2019;F10;1
170950;11-2019;F10;1
170950;12-2019;F10;1
171320;09-2019;F10;1
171360;03-2019;F10;1
171420;01-2019;F10;1
171500;07-2019;F10;1
171610;03-2019;F19;2
171610;05-2019;F10;1
171610;07-2019;F10;2
171610;11-2019;F10;1
171610;12-2019;F10;1
171650;04-2019;F10;1
