MUNICIPIO_CODIGO;MES_ANO;CAUSABAS;TOTAL_OBITOS
110004;07-2018;F19;1
110004;08-2018;F10;1
110004;09-2018;F10;1
110005;07-2018;F10;1
110005;11-2018;F10;1
110009;08-2018;F10;1
110010;05-2018;F10;1
110011;10-2018;F10;1
110020;02-2018;F19;1
110020;03-2018;F10;2
110020;05-2018;F10;1
110020;06-2018;F10;1
110020;07-2018;F10;1
110020;09-2018;F10;2
110020;10-2018;F10;1
110020;10-2018;F19;1
110020;11-2018;F10;1
110020;12-2018;F10;1
110025;11-2018;F10;1
110030;01-2018;F19;1
110030;05-2018;F10;1
110080;07-2018;F10;1
110080;09-2018;F10;1
110130;05-2018;F10;1
120033;03-2018;F10;1
120034;09-2018;F10;1
120034;10-2018;F10;1
120040;01-2018;F10;2
120040;02-2018;F10;2
120040;05-2018;F14;1
120040;06-2018;F10;1
120040;06-2018;F19;1
120040;07-2018;F10;1
120040;08-2018;F10;1
120040;09-2018;F19;1
120040;11-2018;F10;1
120040;12-2018;F10;1
120045;02-2018;F10;1
120050;01-2018;F10;1
120060;03-2018;F10;1
120060;11-2018;F10;1
120080;02-2018;F19;1
130030;01-2018;F10;1
130040;06-2018;F10;1
130060;03-2018;F19;1
130080;08-2018;F10;1
130080;10-2018;F10;1
130090;07-2018;F19;1
130110;04-2018;F10;1
130120;11-2018;F10;1
130140;01-2018;F10;1
130140;03-2018;F10;1
130140;06-2018;F10;1
130150;06-2018;F10;1
130160;01-2018;F10;1
130165;05-2018;F10;1
130190;06-2018;F10;1
130190;07-2018;F19;1
130250;10-2018;F10;1
130260;01-2018;F10;3
130260;02-2018;F10;1
130260;03-2018;F10;2
130260;04-2018;F10;1
130260;04-2018;F14;1
130260;05-2018;F10;2
130260;06-2018;F10;2
130260;06-2018;F19;2
130260;07-2018;F10;2
130260;07-2018;F19;1
130260;09-2018;F10;2
130260;10-2018;F10;3
130260;11-2018;F10;2
130260;12-2018;F10;3
130270;06-2018;F10;1
130280;05-2018;F10;1
130330;01-2018;F10;1
130340;09-2018;F10;1
130356;03-2018;F10;1
130380;03-2018;F10;1
130390;08-2018;F10;1
130430;10-2018;F10;1
140005;11-2018;F10;1
140010;07-2018;F10;1
140015;08-2018;F10;1
140017;03-2018;F10;1
140040;09-2018;F10;1
140045;03-2018;F10;1
140045;10-2018;F10;1
140047;09-2018;F10;1
150080;02-2018;F10;1
150140;01-2018;F10;2
150140;02-2018;F10;2
150140;03-2018;F19;1
150140;04-2018;F10;2
150140;06-2018;F10;1
150140;07-2018;F10;1
150140;08-2018;F10;3
150140;08-2018;F13;1
150140;08-2018;F18;1
150140;09-2018;F10;1
150150;10-2018;F10;1
150180;12-2018;F10;1
150220;02-2018;F10;1
150220;03-2018;F10;1
150220;03-2018;F16;1
150220;04-2018;F11;1
150240;04-2018;F10;1
150270;01-2018;F10;1
150270;06-2018;F10;1
150270;08-2018;F10;1
150270;09-2018;F10;1
150277;01-2018;F10;1
150277;08-2018;F10;1
150290;12-2018;F10;1
150293;05-2018;F10;1
150293;06-2018;F10;1
150293;10-2018;F10;1
150304;08-2018;F10;1
150340;06-2018;F10;1
150350;02-2018;F10;1
150360;02-2018;F10;1
150380;07-2018;F10;1
150380;10-2018;F10;1
150420;04-2018;F10;1
150420;05-2018;F10;3
150420;06-2018;F10;1
150420;07-2018;F10;2
150420;09-2018;F10;1
150420;10-2018;F10;1
150490;10-2018;F10;1
150490;12-2018;F10;1
150510;07-2018;F10;1
150510;11-2018;F10;1
150540;07-2018;F10;1
150553;05-2018;F10;1
150553;07-2018;F10;1
150613;12-2018;F10;1
150618;03-2018;F10;1
150618;08-2018;F10;2
150630;12-2018;F10;1
150650;02-2018;F10;1
150650;05-2018;F10;1
150650;08-2018;F10;1
150650;09-2018;F10;1
150650;11-2018;F10;2
150670;04-2018;F10;1
150745;09-2018;F14;1
150796;07-2018;F10;1
150810;08-2018;F10;2
150815;05-2018;F10;1
150815;07-2018;F10;1
150820;10-2018;F10;1
150830;06-2018;F10;1
150835;06-2018;F10;1
160030;05-2018;F10;1
160030;08-2018;F10;1
160030;09-2018;F10;1
160030;11-2018;F10;1
160030;12-2018;F10;1
170210;01-2018;F10;1
170210;02-2018;F10;2
170210;03-2018;F10;1
170210;04-2018;F10;1
170210;06-2018;F10;1
170210;07-2018;F10;3
170210;08-2018;F10;2
170210;09-2018;F10;2
170210;10-2018;F10;1
170210;10-2018;F19;1
170210;11-2018;F10;1
170210;12-2018;F10;1
170220;04-2018;F10;1
170220;06-2018;F10;1
170240;02-2018;F10;1
170240;03-2018;F10;1
170310;11-2018;F10;1
170330;02-2018;F10;1
170550;06-2018;F10;1
170700;01-2018;F10;1
170700;04-2018;F10;2
170710;02-2018;F10;1
170825;03-2018;F10;1
170900;02-2018;F10;1
170930;03-2018;F10;1
170930;11-2018;F10;1
170950;02-2018;F10;2
170950;05-2018;F10;1
170950;06-2018;F19;1
170950;07-2018;F10;1
170950;08-2018;F10;2
170950;10-2018;F10;1
170950;10-2018;F19;1
170950;11-2018;F10;1
171360;04-2018;F10;1
171430;06-2018;F10;1
171500;05-2018;F10;1
171500;12-2018;F19;1
171610;01-2018;F10;1
171610;04-2018;F10;1
171610;05-2018;F10;1
171610;06-2018;F10;1
171610;07-2018;F10;1
171650;07-2018;F10;1
171780;06-2018;F10;1
171820;12-2018;F10;2
171855;01-2018;F10;1
171870;01-2018;F10;1
172020;02-2018;F10;1
172025;06-2018;F10;1
172090;03-2018;F10;1
172100;01-2018;F10;2
172100;03-2018;F10;1
172100;06-2018;F10;1
172100;09-2018;F10;1
172120;07-2018;F10;1
210005;06-2018;F10;1
210005;07-2018;F10;1
210005;09-2018;F10;3
210043;09-2018;F10;1
210043;10-2018;F10;1
210047;12-2018;F19;1
210060;09-2018;F10;1
210080;12-2018;F10;1
210090;08-2018;F10;1
210120;05-2018;F10;2
210120;06-2018;F10;2
210120;10-2018;F10;1
210120;12-2018;F10;1
210140;02-2018;F10;1
210140;03-2018;F10;1
210140;04-2018;F10;2
210140;07-2018;F10;1
210140;08-2018;F10;1
210140;10-2018;F10;1
210150;11-2018;F10;1
210160;01-2018;F10;1
210160;02-2018;F10;1
