MUNICIPIO_CODIGO;MES_ANO;CAUSABAS;TOTAL_OBITOS
171610;01-2021;F10;1
171610;03-2021;F10;1
171610;07-2021;F10;1
171610;08-2021;F10;1
171610;11-2021;F10;1
171610;12-2021;F10;1
171660;05-2021;F10;1
171665;03-2021;F10;1
171700;09-2021;F10;1
171820;04-2021;F10;1
171820;09-2021;F10;1
171820;12-2021;F10;2
171870;09-2021;F10;1
171890;05-2021;F10;1
172020;08-2021;F10;1
172049;01-2021;F10;1
172065;03-2021;F10;1
172065;07-2021;F10;1
172090;03-2021;F10;1
172090;10-2021;F10;1
172097;02-2021;F10;1
172100;01-2021;F10;1
172100;03-2021;F10;1
172100;07-2021;F10;1
172100;08-2021;F10;1
172100;11-2021;F10;2
172120;05-2021;F10;2
172125;08-2021;F10;1
172208;08-2021;F19;1
172210;05-2021;F10;1
172210;06-2021;F10;1
172210;11-2021;F10;1
210005;01-2021;F10;1
210005;03-2021;F10;1
210005;06-2021;F10;1
210005;09-2021;F10;1
210005;10-2021;F10;1
210005;12-2021;F10;1
210043;02-2021;F10;1
210043;07-2021;F10;1
210050;10-2021;F10;1
210100;07-2021;F10;1
210120;02-2021;F10;2
210120;03-2021;F10;1
210120;05-2021;F10;1
210120;06-2021;F10;2
210120;09-2021;F10;1
210120;11-2021;F10;1
210120;12-2021;F10;1
210140;04-2021;F10;1
210140;05-2021;F10;1
210140;08-2021;F10;1
210140;09-2021;F10;1
210140;11-2021;F10;1
210140;12-2021;F10;1
210160;01-2021;F10;3
210160;02-2021;F10;1
210160;05-2021;F19;1
210160;06-2021;F10;1
210170;11-2021;F10;1
210210;06-2021;F10;1
210210;08-2021;F10;1
210230;04-2021;F10;1
210232;12-2021;F10;1
210235;09-2021;F10;1
210290;06-2021;F10;1
210300;02-2021;F10;1
210300;03-2021;F10;1
210300;05-2021;F10;1
210300;07-2021;F10;1
210300;09-2021;F10;1
210300;10-2021;F10;2
210300;12-2021;F10;2
210320;02-2021;F10;1
210320;06-2021;F10;1
210320;08-2021;F10;1
210320;08-2021;F12;1
210320;11-2021;F10;1
210330;02-2021;F10;2
210330;03-2021;F10;1
210330;07-2021;F10;1
210330;09-2021;F10;2
210350;12-2021;F10;1
210360;06-2021;F10;2
210430;12-2021;F19;1
210440;01-2021;F10;1
210455;04-2021;F10;1
210467;04-2021;F19;1
210470;07-2021;F10;1
210470;11-2021;F10;1
210480;11-2021;F10;1
210520;03-2021;F10;1
210520;04-2021;F10;1
210530;02-2021;F10;2
210530;02-2021;F19;1
210530;05-2021;F19;1
210530;06-2021;F10;2
210530;07-2021;F10;1
210530;07-2021;F19;1
210530;08-2021;F10;3
210530;09-2021;F10;3
210540;09-2021;F10;1
210596;03-2021;F10;1
210670;01-2021;F10;1
210735;05-2021;F10;1
210745;01-2021;F10;1
210750;01-2021;F10;1
210750;07-2021;F10;2
210770;02-2021;F10;1
210800;04-2021;F10;1
210810;05-2021;F10;1
210820;04-2021;F10;1
210845;01-2021;F10;1
210845;09-2021;F10;1
210860;07-2021;F10;1
210870;06-2021;F10;1
210910;01-2021;F10;1
210910;03-2021;F10;1
210910;04-2021;F10;1
210910;05-2021;F10;2
210910;07-2021;F10;2
210910;10-2021;F10;1
210910;11-2021;F10;4
210960;08-2021;F10;1
210960;11-2021;F10;1
210990;10-2021;F10;1
210990;12-2021;F10;2
211000;07-2021;F10;1
211003;12-2021;F19;1
211020;03-2021;F10;1
211023;11-2021;F19;1
211080;04-2021;F10;1
211100;06-2021;F10;1
211100;08-2021;F10;1
211102;02-2021;F19;1
211110;01-2021;F10;1
211120;01-2021;F10;1
211120;08-2021;F10;1
211120;09-2021;F10;3
211120;12-2021;F10;1
211130;01-2021;F10;2
211130;02-2021;F10;3
211130;02-2021;F19;1
211130;03-2021;F10;4
211130;03-2021;F19;1
211130;04-2021;F10;3
211130;04-2021;F19;1
211130;05-2021;F10;4
211130;06-2021;F10;2
211130;06-2021;F19;1
211130;07-2021;F10;3
211130;07-2021;F19;2
211130;08-2021;F10;8
211130;09-2021;F10;3
211130;09-2021;F19;1
211130;10-2021;F10;7
211130;10-2021;F19;1
211130;11-2021;F10;4
211130;11-2021;F19;1
211130;12-2021;F10;4
211150;01-2021;F10;1
211153;05-2021;F10;2
211153;10-2021;F10;1
211160;06-2021;F11;1
211190;12-2021;F10;1
211200;09-2021;F10;1
211220;03-2021;F10;1
211220;04-2021;F10;1
211220;05-2021;F10;2
211220;07-2021;F14;1
211220;07-2021;F19;1
211220;08-2021;F10;2
211220;11-2021;F10;3
211220;11-2021;F19;2
211220;12-2021;F19;1
211223;12-2021;F10;1
211230;02-2021;F10;1
211280;01-2021;F10;1
220020;05-2021;F10;1
220020;12-2021;F10;1
220040;12-2021;F10;1
220060;06-2021;F10;1
220070;10-2021;F10;1
220120;11-2021;F10;1
220120;12-2021;F10;1
220140;05-2021;F10;1
220160;12-2021;F10;1
220170;02-2021;F10;1
220173;05-2021;F10;1
220180;11-2021;F10;1
220190;02-2021;F10;1
220191;01-2021;F10;1
220198;10-2021;F10;1
220208;02-2021;F10;1
220208;07-2021;F10;1
220213;04-2021;F10;1
220220;06-2021;F10;2
220225;01-2021;F10;1
220230;11-2021;F10;1
220260;07-2021;F10;1
220260;11-2021;F10;1
220270;06-2021;F10;1
220290;04-2021;F10;1
220290;11-2021;F10;1
220350;04-2021;F10;1
220360;02-2021;F10;1
220370;02-2021;F10;1
220390;02-2021;F10;2
220390;05-2021;F10;1
220390;06-2021;F10;1
220390;06-2021;F14;1
220390;12-2021;F10;1
220410;07-2021;F10;1
220430;02-2021;F10;1
220440;06-2021;F10;1
220465;07-2021;F10;1
220465;11-2021;F10;1
220520;06-2021;F10;1
220530;07-2021;F10;1
220540;04-2021;F10;1
220550;02-2021;F10;1
220553;03-2021;F10;1
220560;02-2021;F10;1
220580;06-2021;F10;1
220585;02-2021;F10;1
220590;12-2021;F10;1
220595;05-2021;F14;1
220620;05-2021;F10;1
220620;08-2021;F10;1
220640;03-2021;F10;1
220640;10-2021;F10;1
220660;12-2021;F10;1
220665;06-2021;F10;1
220669;07-2021;F10;1
220672;10-2021;F10;1
220675;07-2021;F10;1
220695;04-2021;F10;1
220700;03-2021;F10;1
220700;09-2021;F10;1
220700;10-2021;F10;1
220700;12-2021;F10;1
220750;10-2021;F10;1
220770;02-2021;F10;1
220770;04-2021;F10;1
220770;07-2021;F10;2
220770;07-2021;F19;1
220770;12-2021;F10;2
220780;07-2021;F10;1
220790;05-2021;F10;1
220790;06-2021;F10;1
220795;11-2021;F11;1
220800;03-2021;F10;2
220800;05-2021;F10;1
220800;07-2021;F19;1
220800;08-2021;F19;1
220800;09-2021;F10;1
220800;09-2021;F19;1
220800;10-2021;F10;1
220810;05-2021;F10;1
220830;04-2021;F10;1
220830;08-2021;F10;1
220830;12-2021;F10;1
220840;03-2021;F10;2
220840;07-2021;F10;2
220850;01-2021;F10;1
220920;05-2021;F10;1
220920;07-2021;F10;1
220970;12-2021;F10;1
220975;02-2021;F10;1
220975;09-2021;F10;1
220997;03-2021;F10;1
221020;08-2021;F10;1
221037;12-2021;F10;1
221039;05-2021;F10;1
221050;08-2021;F10;1
221060;09-2021;F10;1
221065;12-2021;F10;1
221080;08-2021;F10;1
221090;10-2021;F10;1
221093;11-2021;F10;1
221095;10-2021;F10;1
221100;01-2021;F10;1
221100;01-2021;F19;1
221100;02-2021;F19;1
221100;03-2021;F10;5
221100;06-2021;F10;2
221100;07-2021;F10;2
221100;07-2021;F14;1
221100;08-2021;F10;3
221100;08-2021;F19;2
221100;09-2021;F10;3
221100;10-2021;F10;5
221100;11-2021;F19;1
221100;12-2021;F10;3
221110;08-2021;F10;1
221110;09-2021;F10;1
221110;11-2021;F10;1
221120;03-2021;F10;1
221120;11-2021;F10;1
221135;12-2021;F10;1
230030;01-2021;F10;1
230030;02-2021;F10;2
230030;03-2021;F10;2
230030;04-2021;F10;1
230030;05-2021;F10;1
230030;06-2021;F10;1
230030;07-2021;F10;1
230030;11-2021;F10;1
230050;07-2021;F10;1
230060;09-2021;F10;1
230090;04-2021;F10;1
230110;01-2021;F10;1
230110;02-2021;F10;1
230110;03-2021;F10;1
230110;09-2021;F10;1
230120;08-2021;F10;1
230125;02-2021;F10;1
230125;06-2021;F10;1
230130;06-2021;F10;1
230160;10-2021;F10;1
230170;04-2021;F10;1
230190;01-2021;F10;1
230200;05-2021;F10;1
230210;03-2021;F10;1
230220;01-2021;F10;1
230220;02-2021;F10;1
230220;05-2021;F10;1
230220;12-2021;F10;1
230240;01-2021;F10;1
230240;04-2021;F10;1
230240;06-2021;F10;1
230240;07-2021;F10;1
230240;12-2021;F10;1
230250;01-2021;F10;1
230250;07-2021;F10;1
230250;12-2021;F10;1
230260;01-2021;F10;1
230280;04-2021;F10;1
230280;05-2021;F10;3
230280;07-2021;F10;1
230280;08-2021;F10;1
230290;01-2021;F10;1
230290;08-2021;F10;1
230290;12-2021;F10;1
230300;04-2021;F10;2
230300;05-2021;F10;1
230300;07-2021;F10;1
230300;09-2021;F10;1
230320;08-2021;F10;1
230330;04-2021;F10;2
230330;06-2021;F10;2
230330;08-2021;F10;1
230340;12-2021;F10;1
230370;02-2021;F10;1
230370;03-2021;F10;1
230370;04-2021;F10;1
230370;05-2021;F10;2
230370;06-2021;F10;2
230370;08-2021;F10;2
230370;09-2021;F10;1
230370;10-2021;F10;1
230380;01-2021;F10;1
230395;08-2021;F10;1
230410;02-2021;F10;3
230410;03-2021;F10;1
230410;04-2021;F10;1
230410;05-2021;F10;3
230410;07-2021;F10;2
230410;10-2021;F10;1
230410;11-2021;F10;1
230410;12-2021;F10;1
230420;05-2021;F10;1
230420;06-2021;F10;1
230420;08-2021;F10;1
230420;11-2021;F10;3
230425;09-2021;F13;1
230425;11-2021;F10;1
230426;04-2021;F10;1
230428;04-2021;F10;1
230428;06-2021;F10;1
230430;03-2021;F10;1
230435;01-2021;F10;1
230435;11-2021;F10;2
230440;01-2021;F10;1
230440;02-2021;F10;3
230440;02-2021;F19;1
230440;03-2021;F10;6
230440;03-2021;F19;1
230440;04-2021;F10;6
230440;04-2021;F19;1
230440;05-2021;F10;6
230440;06-2021;F10;2
230440;07-2021;F10;7
230440;08-2021;F10;3
230440;09-2021;F10;1
230440;10-2021;F10;4
230440;12-2021;F10;3
230440;12-2021;F14;1
230470;01-2021;F10;1
230480;02-2021;F10;1
230490;08-2021;F10;1
230500;01-2021;F10;1
230500;02-2021;F10;2
230500;03-2021;F10;2
230500;04-2021;F10;1
230500;05-2021;F10;1
230500;06-2021;F10;1
230500;08-2021;F10;1
230500;09-2021;F10;1
230500;11-2021;F10;1
230500;12-2021;F10;1
230520;10-2021;F10;1
230523;02-2021;F10;1
230526;05-2021;F10;1
230530;04-2021;F10;1
230530;08-2021;F10;1
230530;10-2021;F11;1
230530;11-2021;F10;1
230540;02-2021;F10;1
230540;05-2021;F10;1
230540;07-2021;F10;2
230540;12-2021;F10;1
230560;02-2021;F10;1
230560;08-2021;F10;1
230565;08-2021;F10;1
230580;05-2021;F19;2
230580;08-2021;F19;1
230580;09-2021;F10;1
230580;10-2021;F10;1
230590;01-2021;F10;1
230590;05-2021;F10;1
230590;06-2021;F10;1
230590;08-2021;F10;1
230590;09-2021;F10;1
230590;12-2021;F10;1
230620;01-2021;F10;1
230630;03-2021;F10;2
230630;07-2021;F10;1
230655;07-2021;F10;1
230660;03-2021;F10;1
230660;08-2021;F19;1
230690;06-2021;F10;1
230690;08-2021;F10;1
230700;01-2021;F10;1
230700;05-2021;F10;1
230700;09-2021;F10;1
230710;08-2021;F10;1
230730;01-2021;F10;1
230730;02-2021;F10;1
230730;04-2021;F10;5
230730;06-2021;F10;1
230750;04-2021;F10;2
230750;05-2021;F10;1
230750;07-2021;F10;1
230760;02-2021;F10;1
230760;04-2021;F10;1
230760;07-2021;F10;1
230760;10-2021;F10;1
230765;01-2021;F10;2
230765;03-2021;F10;1
230765;05-2021;F10;1
230765;07-2021;F10;1
230765;10-2021;F10;1
230765;11-2021;F10;2
230770;02-2021;F10;1
230770;03-2021;F10;1
230770;04-2021;F10;1
230770;05-2021;F10;1
230770;06-2021;F10;1
230800;04-2021;F10;2
230800;05-2021;F19;1
230800;07-2021;F10;2
230800;11-2021;F10;1
230810;03-2021;F10;1
230830;07-2021;F10;1
230830;12-2021;F10;1
230840;11-2021;F10;1
230870;01-2021;F10;2
230870;05-2021;F10;1
230870;08-2021;F10;1
230870;10-2021;F10;1
230890;03-2021;F10;2
230890;05-2021;F10;1
230890;08-2021;F10;1
230900;09-2021;F10;1
230900;10-2021;F10;1
230920;05-2021;F10;1
230930;04-2021;F10;1
230930;12-2021;F10;1
230940;02-2021;F10;1
230940;04-2021;F10;1
230940;06-2021;F10;1
230950;02-2021;F10;1
230950;11-2021;F10;1
230960;01-2021;F10;1
230970;01-2021;F10;2
230970;02-2021;F10;1
230970;04-2021;F10;2
230970;10-2021;F10;2
230980;05-2021;F10;1
231060;03-2021;F10;1
231080;03-2021;F10;1
231090;08-2021;F10;1
231090;10-2021;F10;1
231100;11-2021;F10;1
231110;02-2021;F10;1
231110;06-2021;F10;1
231126;04-2021;F10;1
231126;07-2021;F10;1
231130;05-2021;F10;2
231130;06-2021;F10;1
231130;10-2021;F10;1
231130;11-2021;F10;1
231130;12-2021;F10;1
231140;01-2021;F10;1
231140;02-2021;F10;1
231140;03-2021;F10;1
231140;04-2021;F10;1
231140;05-2021;F10;3
