MUNICIPIO_CODIGO;MES_ANO;CAUSABAS;TOTAL_OBITOS
110002;06-2016;F10;1
110002;08-2016;F10;1
110004;03-2016;F10;1
110004;05-2016;F10;1
110004;10-2016;F10;1
110004;12-2016;F10;1
110011;11-2016;F10;1
110012;05-2016;F10;1
110012;09-2016;F10;1
110012;12-2016;F10;1
110020;03-2016;F10;1
110020;05-2016;F19;1
110020;07-2016;F10;1
110020;08-2016;F10;1
110020;09-2016;F10;1
110020;10-2016;F10;1
110020;11-2016;F10;1
110020;11-2016;F15;1
110020;12-2016;F10;2
110025;01-2016;F10;1
110030;02-2016;F10;1
110030;04-2016;F10;1
110030;05-2016;F12;1
110030;09-2016;F10;1
110030;11-2016;F19;1
110120;01-2016;F10;1
120020;10-2016;F10;1
120033;07-2016;F10;1
120040;01-2016;F10;2
120040;01-2016;F12;1
120040;01-2016;F14;2
120040;02-2016;F10;3
120040;05-2016;F10;1
120040;06-2016;F10;1
120040;08-2016;F10;1
120040;10-2016;F10;1
120040;10-2016;F14;2
120040;11-2016;F10;1
120040;12-2016;F19;1
120042;01-2016;F10;1
120060;01-2016;F19;1
120060;03-2016;F10;2
130030;05-2016;F10;1
130030;07-2016;F10;1
130060;12-2016;F10;1
130120;04-2016;F10;1
130120;11-2016;F10;1
130140;03-2016;F10;1
130140;04-2016;F10;1
130140;06-2016;F10;1
130160;03-2016;F10;1
130250;03-2016;F16;1
130250;09-2016;F18;1
130260;01-2016;F10;2
130260;02-2016;F10;1
130260;04-2016;F10;4
130260;05-2016;F10;1
130260;08-2016;F10;4
130260;08-2016;F14;1
130260;09-2016;F10;1
130260;10-2016;F10;1
130260;11-2016;F10;2
130260;12-2016;F10;2
130270;10-2016;F18;1
130270;12-2016;F10;1
130350;08-2016;F10;1
130400;05-2016;F10;1
130410;02-2016;F10;1
130426;10-2016;F10;1
140002;06-2016;F10;1
140010;01-2016;F10;1
140010;04-2016;F10;1
140010;06-2016;F10;1
140010;07-2016;F13;1
140010;08-2016;F10;1
140010;10-2016;F10;1
140030;01-2016;F10;1
140050;03-2016;F10;1
150034;01-2016;F10;1
150050;09-2016;F10;1
150060;04-2016;F10;1
150060;04-2016;F14;1
150060;10-2016;F10;1
150080;01-2016;F10;1
150080;03-2016;F10;2
150130;04-2016;F11;1
150130;12-2016;F14;1
150140;01-2016;F10;1
150140;02-2016;F10;1
150140;07-2016;F10;1
150140;09-2016;F10;1
150140;11-2016;F10;1
150170;08-2016;F10;1
150210;02-2016;F10;1
150220;09-2016;F18;1
150240;01-2016;F10;1
150240;06-2016;F10;1
150270;08-2016;F10;1
150270;12-2016;F10;1
150277;08-2016;F10;1
150293;08-2016;F11;1
150293;09-2016;F10;1
150293;11-2016;F10;1
150295;10-2016;F10;1
150310;01-2016;F10;1
150330;07-2016;F10;1
150360;05-2016;F10;1
150360;06-2016;F10;1
150360;08-2016;F10;1
150360;09-2016;F10;1
150370;09-2016;F10;1
150370;11-2016;F10;1
150380;10-2016;F10;1
150390;10-2016;F10;1
150420;03-2016;F10;1
150420;04-2016;F10;1
150420;06-2016;F10;2
150420;09-2016;F10;1
150420;10-2016;F10;1
150420;11-2016;F10;1
150420;12-2016;F10;2
150510;03-2016;F10;2
150510;04-2016;F10;1
150510;05-2016;F10;1
150510;06-2016;F10;1
150510;07-2016;F10;1
150510;10-2016;F10;1
150543;08-2016;F19;1
150548;01-2016;F19;1
