MUNICIPIO_CODIGO;MES_ANO;CAUSABAS;TOTAL_OBITOS
110002;01-2017;F10;1
110002;07-2017;F10;1
110002;12-2017;F10;1
110004;03-2017;F10;1
110004;05-2017;F10;1
110004;09-2017;F10;1
110004;12-2017;F14;2
110011;12-2017;F10;1
110013;07-2017;F10;1
110018;02-2017;F10;1
110018;05-2017;F10;1
110020;01-2017;F10;1
110020;03-2017;F10;1
110020;04-2017;F10;1
110020;04-2017;F19;1
110020;05-2017;F10;2
110020;07-2017;F10;1
110020;10-2017;F14;1
110020;11-2017;F10;1
110030;01-2017;F10;2
110030;07-2017;F10;1
110030;08-2017;F10;1
110030;09-2017;F10;1
110030;10-2017;F10;1
110030;11-2017;F10;1
110034;09-2017;F10;1
110034;11-2017;F10;1
110080;01-2017;F10;1
110090;06-2017;F10;1
110147;05-2017;F10;1
120001;03-2017;F10;1
120020;04-2017;F10;2
120020;08-2017;F10;1
120020;11-2017;F19;1
120030;03-2017;F10;1
120030;09-2017;F10;1
120040;01-2017;F10;2
120040;03-2017;F10;1
120040;04-2017;F10;1
120040;05-2017;F19;1
120040;07-2017;F10;3
120040;08-2017;F14;1
120040;12-2017;F10;1
120050;03-2017;F10;1
120060;06-2017;F10;1
120060;09-2017;F10;1
120080;08-2017;F10;1
130100;02-2017;F10;1
130100;11-2017;F10;1
130120;01-2017;F10;1
130120;02-2017;F10;1
130140;10-2017;F10;2
130140;11-2017;F10;1
130180;11-2017;F10;1
130250;04-2017;F10;1
130260;01-2017;F10;3
130260;01-2017;F19;1
130260;02-2017;F10;4
130260;03-2017;F10;1
130260;04-2017;F10;1
130260;05-2017;F19;1
130260;06-2017;F10;1
130260;06-2017;F19;1
130260;07-2017;F10;3
130260;08-2017;F10;1
130260;09-2017;F10;2
130260;10-2017;F10;1
130260;11-2017;F10;1
130260;12-2017;F10;4
130280;02-2017;F10;1
130280;06-2017;F10;1
130310;10-2017;F10;1
130390;09-2017;F10;1
130406;11-2017;F10;1
130420;10-2017;F10;1
140010;09-2017;F10;1
140010;10-2017;F10;1
140015;09-2017;F10;1
140045;06-2017;F10;1
140045;08-2017;F10;1
150040;10-2017;F10;1
150040;12-2017;F10;1
150060;08-2017;F10;1
150060;09-2017;F19;1
150080;05-2017;F19;1
150080;08-2017;F10;1
150080;11-2017;F10;1
150140;03-2017;F14;1
150140;03-2017;F18;1
150140;05-2017;F10;3
150140;06-2017;F10;2
150140;08-2017;F10;2
150140;09-2017;F10;1
150140;10-2017;F10;2
150140;12-2017;F10;1
150170;04-2017;F10;1
150180;06-2017;F10;1
150240;02-2017;F10;1
150240;05-2017;F10;1
150270;02-2017;F10;1
150270;03-2017;F10;2
150270;12-2017;F10;1
150293;01-2017;F10;1
150293;08-2017;F10;1
150345;04-2017;F10;1
150360;02-2017;F10;1
150360;10-2017;F10;1
150360;11-2017;F10;2
150370;10-2017;F10;1
150380;07-2017;F10;1
150380;09-2017;F10;2
150390;09-2017;F10;1
150420;01-2017;F10;3
150420;03-2017;F10;1
150420;05-2017;F10;1
150420;11-2017;F10;1
150480;03-2017;F10;1
150497;12-2017;F10;1
150503;05-2017;F10;1
150503;07-2017;F10;1
150503;08-2017;F10;1
150510;01-2017;F10;1
150510;02-2017;F10;1
150510;09-2017;F10;1
150510;10-2017;F10;1
150549;03-2017;F10;1
150550;05-2017;F14;1
150613;10-2017;F10;2
150616;08-2017;F10;1
150618;01-2017;F10;1
