ESTADO_CODIGO;ESTADO_SIGLA;ESTADO_NOME;REGIAO_SAUDE_CODIGO;REGIAO_SAUDE_NOME;CO_CEP;ANO;MES;REGIAO_SAUDE_POPULACAO;TIPO;REGIAO_SAUDE_QTDE_CAPS;REGIAO_SAUDE_IC
11;RO;Rondônia;11004;Madeira-Mamoré;76804020,0;2022;12;558625;CAPS II;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;76804027,0;2022;12;558625;CAPS II;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;76804027,0;2022;12;558625;CAPS IJ;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;76812068,0;2019;12;558625;CAPS IJ;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;76812068,0;2020;12;558625;CAPS IJ;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;76812068,0;2021;12;558625;CAPS IJ;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;76820194,0;2019;12;558625;CAPS II;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;76820194,0;2020;12;558625;CAPS II;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;76820194,0;2021;12;558625;CAPS II;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;76820739,0;2018;12;558625;CAPS AD;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;76820739,0;2018;12;558625;CAPS II;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;76824396,0;2019;12;558625;CAPS AD;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;76824396,0;2020;12;558625;CAPS AD;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;76824396,0;2021;12;558625;CAPS AD;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;76824396,0;2022;12;558625;CAPS AD;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;76850000,0;2018;12;558625;CAPS I;1;0,08950548221078541
11;RO;Rondônia;11004;Madeira-Mamoré;76850000,0;2019;12;558625;CAPS I;1;0,08950548221078541
11;RO;Rondônia;11004;Madeira-Mamoré;76850000,0;2020;12;558625;CAPS I;1;0,08950548221078541
11;RO;Rondônia;11004;Madeira-Mamoré;76850000,0;2021;12;558625;CAPS I;1;0,08950548221078541
11;RO;Rondônia;11004;Madeira-Mamoré;76850000,0;2022;12;558625;CAPS I;1;0,08950548221078541
11;RO;Rondônia;11004;Madeira-Mamoré;76857000,0;2018;12;558625;CAPS I;1;0,08950548221078541
11;RO;Rondônia;11004;Madeira-Mamoré;76857000,0;2019;12;558625;CAPS I;1;0,08950548221078541
11;RO;Rondônia;11004;Madeira-Mamoré;76857000,0;2020;12;558625;CAPS I;1;0,08950548221078541
11;RO;Rondônia;11004;Madeira-Mamoré;76857000,0;2021;12;558625;CAPS I;1;0,08950548221078541
11;RO;Rondônia;11004;Madeira-Mamoré;76857000,0;2022;12;558625;CAPS I;1;0,08950548221078541
11;RO;Rondônia;11005;Zona da Mata;76940000,0;2018;12;131385;CAPS I;1;0,38056094683563574
11;RO;Rondônia;11005;Zona da Mata;76940000,0;2019;12;131385;CAPS I;1;0,38056094683563574
11;RO;Rondônia;11005;Zona da Mata;76940000,0;2020;12;131385;CAPS I;1;0,38056094683563574
11;RO;Rondônia;11005;Zona da Mata;76940000,0;2021;12;131385;CAPS I;1;0,38056094683563574
11;RO;Rondônia;11005;Zona da Mata;76940000,0;2022;12;131385;CAPS I;1;0,38056094683563574
11;RO;Rondônia;11005;Zona da Mata;76954000,0;2018;12;131385;CAPS I;1;0,38056094683563574
11;RO;Rondônia;11005;Zona da Mata;76954000,0;2019;12;131385;CAPS I;1;0,38056094683563574
11;RO;Rondônia;11005;Zona da Mata;76954000,0;2020;12;131385;CAPS I;1;0,38056094683563574
11;RO;Rondônia;11005;Zona da Mata;76954000,0;2021;12;131385;CAPS I;1;0,38056094683563574
11;RO;Rondônia;11005;Zona da Mata;76954000,0;2022;12;131385;CAPS I;1;0,38056094683563574
11;RO;Rondônia;11006;Cone Sul;76988004,0;2018;12;150724;CAPS I;1;0,3317321727130384
11;RO;Rondônia;11006;Cone Sul;76988004,0;2019;12;150724;CAPS I;1;0,3317321727130384
11;RO;Rondônia;11006;Cone Sul;76988004,0;2020;12;150724;CAPS I;1;0,3317321727130384
11;RO;Rondônia;11006;Cone Sul;76988004,0;2021;12;150724;CAPS I;1;0,3317321727130384
11;RO;Rondônia;11006;Cone Sul;76988004,0;2022;12;150724;CAPS I;1;0,3317321727130384
11;RO;Rondônia;11006;Cone Sul;76993000,0;2018;12;150724;CAPS I;1;0,3317321727130384
11;RO;Rondônia;11006;Cone Sul;76993000,0;2019;12;150724;CAPS II;1;0,6634643454260768
11;RO;Rondônia;11006;Cone Sul;76993000,0;2020;12;150724;CAPS II;1;0,6634643454260768
11;RO;Rondônia;11006;Cone Sul;76993000,0;2021;12;150724;CAPS II;1;0,6634643454260768
11;RO;Rondônia;11006;Cone Sul;76993000,0;2022;12;150724;CAPS II;1;0,6634643454260768
11;RO;Rondônia;11006;Cone Sul;76997000,0;2018;12;150724;CAPS I;1;0,3317321727130384
11;RO;Rondônia;11006;Cone Sul;76997000,0;2019;12;150724;CAPS I;1;0,3317321727130384
