ESTADO_CODIGO;ESTADO_SIGLA;ESTADO_NOME;CO_CEP;ANO;MES;ESTADO_POPULACAO;TIPO;ESTADO_QTDE_CAPS;ESTADO_IC
11;RO;Rondônia;76804020;2022;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76804027;2022;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76804027;2022;12;1616379;CAPS IJ;1;0,06186667854506895
11;RO;Rondônia;76824396;2022;12;1616379;CAPS AD;1;0,06186667854506895
11;RO;Rondônia;76850000;2022;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76857000;2022;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76868000;2022;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76873512;2022;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76880000;2022;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76890000;2022;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76900020;2022;12;1616379;CAPS AD;1;0,06186667854506895
11;RO;Rondônia;76900020;2022;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76916000;2022;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76920000;2022;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76940000;2022;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76954000;2022;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76960970;2022;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76970000;2022;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76974000;2022;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76988004;2022;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76993000;2022;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76997000;2022;12;1616379;CAPS I;1;0,030933339272534475
12;AC;Acre;69900460;2022;12;829780;CAPS II;1;0,12051387114656897
12;AC;Acre;69918452;2022;12;829780;CAPS AD;1;0,12051387114656897
12;AC;Acre;69931000;2022;12;829780;CAPS I;1;0,06025693557328449
12;AC;Acre;69932000;2022;12;829780;CAPS I;1;0,06025693557328449
12;AC;Acre;69934000;2022;12;829780;CAPS I;1;0,06025693557328449
12;AC;Acre;69940000;2022;12;829780;CAPS I;1;0,06025693557328449
12;AC;Acre;69945000;2022;12;829780;CAPS I;1;0,06025693557328449
12;AC;Acre;69980000;2022;12;829780;CAPS II;1;0,12051387114656897
12;AC;Acre;69980000;2022;12;829780;CAPS IJ;1;0,12051387114656897
12;AC;Acre;69990000;2022;12;829780;CAPS I;1;0,06025693557328449
13;AM;Amazonas;69001009;2022;12;3952262;CAPS III;1;0,03795294947551554
13;AM;Amazonas;69055021;2022;12;3952262;CAPS III;1;0,03795294947551554
13;AM;Amazonas;69058330;2022;12;3952262;CAPS IJ;1;0,02530196631701036
13;AM;Amazonas;69059140;2022;12;3952262;CAPS III;1;0,03795294947551554
13;AM;Amazonas;69060550;2022;12;3952262;CAPS AD;1;0,02530196631701036
13;AM;Amazonas;69082653;2022;12;3952262;CAPS IJ;1;0,02530196631701036
13;AM;Amazonas;69104086;2022;12;3952262;CAPS II;1;0,02530196631701036
13;AM;Amazonas;69117000;2022;12;3952262;CAPS I;1;0,01265098315850518
13;AM;Amazonas;69151160;2022;12;3952262;CAPS II;1;0,02530196631701036
13;AM;Amazonas;69152470;2022;12;3952262;CAPS AD;1;0,02530196631701036
13;AM;Amazonas;69190000;2022;12;3952262;CAPS I;1;0,01265098315850518
13;AM;Amazonas;69200000;2022;12;3952262;CAPS I;1;0,01265098315850518
13;AM;Amazonas;69230000;2022;12;3952262;CAPS I;1;0,01265098315850518
13;AM;Amazonas;69240000;2022;12;3952262;CAPS I;1;0,01265098315850518
13;AM;Amazonas;69250000;2022;12;3952262;CAPS I;1;0,01265098315850518
13;AM;Amazonas;69255000;2022;12;3952262;CAPS I;1;0,01265098315850518
13;AM;Amazonas;69260000;2022;12;3952262;CAPS I;1;0,01265098315850518
13;AM;Amazonas;69265000;2022;12;3952262;CAPS I;1;0,01265098315850518
13;AM;Amazonas;69280000;2022;12;3952262;CAPS I;1;0,01265098315850518
13;AM;Amazonas;69400797;2022;12;3952262;CAPS AD;1;0,02530196631701036
13;AM;Amazonas;69400812;2022;12;3952262;CAPS II;1;0,02530196631701036
13;AM;Amazonas;69415000;2022;12;3952262;CAPS I;1;0,01265098315850518
