ESTADO_CODIGO;ESTADO_SIGLA;ESTADO_NOME;CO_CEP;ANO;MES;ESTADO_POPULACAO;TIPO;ESTADO_QTDE_CAPS;ESTADO_IC
11;RO;Rondônia;76801039;2018;12;1616379;CAPS IJ;1;0,06186667854506895
11;RO;Rondônia;76803894;2018;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76820739;2018;12;1616379;CAPS AD;1;0,06186667854506895
11;RO;Rondônia;76820739;2018;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76850000;2018;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76857000;2018;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76868000;2018;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76873512;2018;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76880000;2018;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76890000;2018;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76900020;2018;12;1616379;CAPS AD;1;0,06186667854506895
11;RO;Rondônia;76900020;2018;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76916000;2018;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76920970;2018;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76940000;2018;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76954000;2018;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76960970;2018;12;1616379;CAPS II;1;0,06186667854506895
11;RO;Rondônia;76970000;2018;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76974000;2018;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76988004;2018;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76993000;2018;12;1616379;CAPS I;1;0,030933339272534475
11;RO;Rondônia;76997000;2018;12;1616379;CAPS I;1;0,030933339272534475
12;AC;Acre;69900460;2018;12;829780;CAPS II;1;0,12051387114656897
12;AC;Acre;69918452;2018;12;829780;CAPS AD;1;0,12051387114656897
12;AC;Acre;69931000;2018;12;829780;CAPS I;1;0,06025693557328449
12;AC;Acre;69932000;2018;12;829780;CAPS I;1;0,06025693557328449
12;AC;Acre;69934000;2018;12;829780;CAPS I;1;0,06025693557328449
