ESTADO_CODIGO;ESTADO_SIGLA;ESTADO_NOME;REGIAO_SAUDE_CODIGO;REGIAO_SAUDE_NOME;REGIAO_SAUDE_POPULACAO
42;SC;Santa Catarina;42001;Extremo Oeste;241975
42;SC;Santa Catarina;42002;Oeste;404112
42;SC;Santa Catarina;42003;Xanxerê;205250
42;SC;Santa Catarina;42004;Alto Vale do Itajaí;310208
42;SC;Santa Catarina;42005;Foz do Rio Itajaí;854561
42;SC;Santa Catarina;42006;Médio Vale do Itajaí;818309
42;SC;Santa Catarina;42007;Grande Florianópolis;1426392
42;SC;Santa Catarina;42008;Meio Oeste;192714
42;SC;Santa Catarina;42009;Alto Vale do Rio do Peixe;288553
42;SC;Santa Catarina;42010;Alto Uruguai Catarinense;154591
42;SC;Santa Catarina;42011;Nordeste;780182
42;SC;Santa Catarina;42012;Planalto Norte;368363
42;SC;Santa Catarina;42013;Serra Catarinense;296677
42;SC;Santa Catarina;42014;Extremo Sul Catarinense;220654
42;SC;Santa Catarina;42015;Carbonífera;468723
42;SC;Santa Catarina;42016;Laguna;386545
42;SC;Santa Catarina;42017;vale do itapocú;344345
43;RS;Rio Grande do Sul;43001;Região 01 - Verdes Campos;461625
43;RS;Rio Grande do Sul;43002;Região 02 - Entre Rios;117641
43;RS;Rio Grande do Sul;43003;Região 03 - Fronteira Oeste;442103
43;RS;Rio Grande do Sul;43004;Região 04 - Belas Praias;176528
43;RS;Rio Grande do Sul;43005;Região 05 - Bons Ventos;248236
43;RS;Rio Grande do Sul;43006;Região 06 - Vale do Paranhana e Costa Serra;221462
43;RS;Rio Grande do Sul;43007;Região 07 - Vale dos Sinos;792474
43;RS;Rio Grande do Sul;43008;Região 08 - Vale do Caí e Metropolitana;757693
43;RS;Rio Grande do Sul;43009;Região 09 - Carbonífera/Costa Doce;381871
43;RS;Rio Grande do Sul;43010;Região 10 - Capital e Vale do Gravataí;2235272
43;RS;Rio Grande do Sul;43011;Região 11 - Sete Povos das Missões;277126
43;RS;Rio Grande do Sul;43012;Região 12 - Portal das Missões;124902
43;RS;Rio Grande do Sul;43013;Região 13 - Diversidade;228185
43;RS;Rio Grande do Sul;43014;Região 14 - Fronteira Noroeste;231965
43;RS;Rio Grande do Sul;43015;Região 15 - Caminho das Águas;188999
43;RS;Rio Grande do Sul;43016;Região 16 - Alto Uruguai Gaúcho;235806
43;RS;Rio Grande do Sul;43017;Região 17 - Planalto;431211
43;RS;Rio Grande do Sul;43018;Região 18 - Araucárias;133770
43;RS;Rio Grande do Sul;43019;Região 19 - Botucaraí;111648
43;RS;Rio Grande do Sul;43020;Região 20 - Rota da Produção;157790
43;RS;Rio Grande do Sul;43021;Região 21 - Sul;815309
43;RS;Rio Grande do Sul;43022;Região 22 - Pampa;177615
43;RS;Rio Grande do Sul;43023;Região 23 - Caxias e Hortênsias;637133
43;RS;Rio Grande do Sul;43024;Região 24 - Campos de Cima da Serra;96660
43;RS;Rio Grande do Sul;43025;Região 25 - Vinhedos e Basalto;321168
43;RS;Rio Grande do Sul;43026;Região 26 - Uva Vale;198249
43;RS;Rio Grande do Sul;43027;Região 27 - Jacuí Centro;187115
43;RS;Rio Grande do Sul;43028;Região 28 - Vinte e Oito;339548
43;RS;Rio Grande do Sul;43029;Região 29 - Vales e Montanhas;234051
43;RS;Rio Grande do Sul;43030;Região 30 - Vale da Luz;124910
50;MS;Mato Grosso do Sul;50001;Campo Grande;1549444
50;MS;Mato Grosso do Sul;50002;Corumbá;115869
50;MS;Mato Grosso do Sul;50003;Dourados;869992
50;MS;Mato Grosso do Sul;50004;Três Lagoas;298437
51;MT;Mato Grosso;51001;Alto Tapajós;110473
51;MT;Mato Grosso;51002;Baixada Cuiabana;1113003
51;MT;Mato Grosso;51003;Araguaia Xingu;87776
51;MT;Mato Grosso;51004;Centro Norte;93284
51;MT;Mato Grosso;51005;Garças Araguaia;142540
51;MT;Mato Grosso;51006;Médio Araguaia;122017
51;MT;Mato Grosso;51007;Médio Norte Matogrossense;244592
51;MT;Mato Grosso;51008;Noroeste Matogrossense;150509
51;MT;Mato Grosso;51009;Norte Araguaia Karajá;23996
51;MT;Mato Grosso;51010;Norte Matogrossense;72552
51;MT;Mato Grosso;51011;Oeste Matogrossense;189033
51;MT;Mato Grosso;51012;Sudoeste Matogrossense;129585
51;MT;Mato Grosso;51013;Sul Matogrossense;583794
51;MT;Mato Grosso;51014;Teles Pires;551656
51;MT;Mato Grosso;51015;Vale do Peixoto;110064
51;MT;Mato Grosso;51016;Vale dos Arinos;59365
52;GO;Goiás;52001;Central;1872683
52;GO;Goiás;52002;Centro Sul;923411
52;GO;Goiás;52003;Entorno Norte;271278
52;GO;Goiás;52004;Entorno Sul;912426
52;GO;Goiás;52005;Estrada de Ferro;316182
52;GO;Goiás;52006;Nordeste I;43127
52;GO;Goiás;52007;Nordeste II;94832
52;GO;Goiás;52008;Norte;132152
52;GO;Goiás;52009;Oeste I;116300
52;GO;Goiás;52010;Oeste II;116389
52;GO;Goiás;52011;Pirineus;531431
52;GO;Goiás;52012;Rio Vermelho;207458
52;GO;Goiás;52013;São Patrício I;172170
52;GO;Goiás;52014;Serra da Mesa;124740
52;GO;Goiás;52015;Sudoeste I;432079
52;GO;Goiás;52016;Sudoeste II;239073
52;GO;Goiás;52017;Sul;266478
52;GO;Goiás;52018;São Patrício II;178767
53;DF;Distrito Federal;53002;CENTRAL;377738
53;DF;Distrito Federal;53003;CENTRO-SUL;361049
53;DF;Distrito Federal;53004;NORTE;284379
53;DF;Distrito Federal;53005;SUL;258666
53;DF;Distrito Federal;53006;LESTE;272153
53;DF;Distrito Federal;53007;OESTE;486591
53;DF;Distrito Federal;53008;SUDOESTE;766477
