ESTADO_CODIGO;DIAG_PRINC;ANO_CMPT;MES_CMPT;TOTAL
53;F05;2020;12;11
53;F05;2021;1;10
53;F05;2021;2;7
53;F05;2021;3;2
53;F05;2021;4;2
53;F05;2021;5;3
53;F05;2021;6;5
53;F05;2021;7;2
53;F05;2021;8;2
53;F05;2021;9;8
53;F05;2021;10;1
53;F05;2021;11;3
53;F05;2021;12;2
53;F05;2022;1;1
53;F05;2022;2;3
53;F05;2022;3;1
53;F05;2022;4;2
53;F05;2022;5;3
53;F05;2022;6;2
53;F05;2022;7;1
53;F05;2022;8;6
53;F05;2022;9;6
53;F05;2022;11;1
53;F05;2022;12;3
53;F06;2018;1;4
53;F06;2018;2;1
53;F06;2018;3;5
53;F06;2018;4;3
53;F06;2018;5;12
53;F06;2018;6;15
53;F06;2018;7;12
53;F06;2018;8;17
53;F06;2018;9;8
53;F06;2018;10;9
53;F06;2018;11;10
53;F06;2018;12;6
53;F06;2019;1;9
53;F06;2019;2;21
53;F06;2019;3;18
53;F06;2019;4;3
53;F06;2019;5;4
53;F06;2019;6;9
53;F06;2019;7;12
53;F06;2019;8;2
53;F06;2019;9;19
53;F06;2019;10;9
53;F06;2019;11;3
53;F06;2019;12;18
53;F06;2020;1;13
53;F06;2020;2;18
53;F06;2020;3;18
53;F06;2020;4;17
53;F06;2020;5;7
53;F06;2020;6;5
53;F06;2020;7;7
53;F06;2020;8;10
53;F06;2020;9;13
53;F06;2020;10;7
53;F06;2020;11;7
53;F06;2020;12;6
53;F06;2021;1;9
53;F06;2021;2;11
53;F06;2021;3;10
53;F06;2021;4;12
53;F06;2021;5;18
53;F06;2021;6;22
53;F06;2021;7;2
53;F06;2021;8;5
53;F06;2021;9;10
53;F06;2021;10;8
53;F06;2021;11;9
53;F06;2021;12;11
53;F06;2022;1;10
53;F06;2022;2;9
53;F06;2022;3;8
53;F06;2022;4;11
53;F06;2022;5;9
53;F06;2022;6;3
53;F06;2022;7;7
53;F06;2022;8;14
53;F06;2022;9;9
53;F06;2022;10;11
53;F06;2022;11;19
53;F06;2022;12;10
53;F07;2018;1;1
53;F07;2018;2;1
53;F07;2018;3;1
53;F07;2018;5;3
53;F07;2018;6;1
53;F07;2018;7;4
53;F07;2018;8;4
53;F07;2018;9;4
53;F07;2018;10;2
53;F07;2019;1;3
53;F07;2019;2;1
53;F07;2019;3;1
53;F07;2019;4;1
53;F07;2019;5;1
53;F07;2019;7;2
53;F07;2019;8;2
53;F07;2019;9;1
53;F07;2019;10;1
53;F07;2019;12;2
53;F07;2020;2;2
53;F07;2020;3;2
53;F07;2020;4;1
53;F07;2020;5;1
53;F07;2020;6;1
53;F07;2020;11;1
53;F07;2020;12;1
53;F07;2021;1;1
53;F07;2021;2;1
53;F07;2021;5;1
53;F07;2021;6;2
53;F07;2021;7;3
53;F07;2021;9;1
53;F07;2021;10;1
53;F07;2021;11;1
53;F07;2021;12;2
53;F07;2022;2;1
53;F07;2022;3;2
53;F07;2022;4;1
53;F07;2022;7;1
53;F07;2022;10;1
53;F07;2022;11;1
53;F07;2022;12;2
53;F09;2018;1;2
