;ESTADO_CODIGO;DIAG_PRINC;ANO_CMPT;MES_CMPT;TOTAL;PERCENTUAL
119;53;F02;2022;12;2;0,037112636852848394
120;53;F03;2018;1;1;0,019538882375928098
121;53;F03;2018;2;11;0,21492770613520906
122;53;F03;2018;3;12;0,23446658851113714
123;53;F03;2018;4;6;0,11723329425556857
124;53;F03;2018;5;3;0,058616647127784284
125;53;F03;2018;6;11;0,21492770613520906
126;53;F03;2018;7;6;0,11723329425556857
127;53;F03;2018;8;8;0,15631105900742479
128;53;F03;2018;9;6;0,11723329425556857
129;53;F03;2018;10;7;0,13677217663149666
130;53;F03;2018;11;2;0,039077764751856196
131;53;F03;2018;12;6;0,11723329425556857
132;53;F03;2019;1;3;0,04982561036372695
133;53;F03;2019;2;9;0,14947683109118087
134;53;F03;2019;3;8;0,13286829430327188
135;53;F03;2019;4;11;0,18269390466699884
136;53;F03;2019;5;5;0,08304268393954493
137;53;F03;2019;6;7;0,1162597575153629
138;53;F03;2019;7;5;0,08304268393954493
139;53;F03;2019;8;9;0,14947683109118087
140;53;F03;2019;9;7;0,1162597575153629
141;53;F03;2019;10;7;0,1162597575153629
142;53;F03;2019;11;6;0,0996512207274539
143;53;F03;2019;12;9;0,14947683109118087
144;53;F03;2020;1;10;0,20742584526031943
145;53;F03;2020;2;5;0,10371292263015972
146;53;F03;2020;3;10;0,20742584526031943
147;53;F03;2020;4;10;0,20742584526031943
148;53;F03;2020;5;7;0,1451980916822236
149;53;F03;2020;6;4;0,08297033810412777
150;53;F03;2020;7;5;0,10371292263015972
151;53;F03;2020;8;9;0,18668326073428748
152;53;F03;2020;9;5;0,10371292263015972
153;53;F03;2020;10;5;0,10371292263015972
154;53;F03;2020;11;10;0,20742584526031943
155;53;F03;2020;12;9;0,18668326073428748
156;53;F03;2021;1;5;0,10066438494060802
157;53;F03;2021;2;4;0,08053150795248641
158;53;F03;2021;3;3;0,06039863096436481
159;53;F03;2021;4;8;0,16106301590497282
160;53;F03;2021;5;11;0,22146164686933761
161;53;F03;2021;6;5;0,10066438494060802
162;53;F03;2021;7;4;0,08053150795248641
163;53;F03;2021;8;4;0,08053150795248641
164;53;F03;2021;9;9;0,18119589289309443
165;53;F03;2021;10;3;0,06039863096436481
166;53;F03;2021;11;4;0,08053150795248641
167;53;F03;2021;12;7;0,14093013891685122
168;53;F03;2022;1;5;0,09278159213212099
169;53;F03;2022;2;7;0,12989422898496938
170;53;F03;2022;3;10;0,18556318426424198
171;53;F03;2022;4;7;0,12989422898496938
172;53;F03;2022;5;2;0,037112636852848394
173;53;F03;2022;6;3;0,0556689552792726
174;53;F03;2022;7;6;0,1113379105585452
175;53;F03;2022;8;11;0,20411950269066617
176;53;F03;2022;9;8;0,14845054741139357
177;53;F03;2022;10;10;0,18556318426424198
178;53;F03;2022;11;4;0,07422527370569679
179;53;F03;2022;12;8;0,14845054741139357
180;53;F04;2018;9;1;0,019538882375928098
181;53;F04;2018;12;2;0,039077764751856196
182;53;F04;2019;1;1;0,016608536787908985
183;53;F04;2019;4;1;0,016608536787908985
184;53;F04;2019;7;1;0,016608536787908985
185;53;F04;2019;8;1;0,016608536787908985
186;53;F04;2019;11;4;0,06643414715163594
187;53;F04;2019;12;1;0,016608536787908985
188;53;F04;2020;6;1;0,02074258452603194
189;53;F04;2020;8;1;0,02074258452603194
190;53;F04;2021;2;1;0,020132876988121603
191;53;F04;2021;6;1;0,020132876988121603
192;53;F04;2021;9;2;0,040265753976243206
193;53;F04;2021;11;1;0,020132876988121603
194;53;F05;2018;1;2;0,039077764751856196
195;53;F05;2018;2;3;0,058616647127784284
196;53;F05;2018;3;1;0,019538882375928098
197;53;F05;2018;4;1;0,019538882375928098
198;53;F05;2018;5;3;0,058616647127784284
199;53;F05;2018;6;8;0,15631105900742479
200;53;F05;2018;7;2;0,039077764751856196
201;53;F05;2018;8;6;0,11723329425556857
202;53;F05;2018;9;7;0,13677217663149666
203;53;F05;2018;10;9;0,1758499413833529
204;53;F05;2018;11;11;0,21492770613520906
205;53;F05;2018;12;6;0,11723329425556857
206;53;F05;2019;1;4;0,06643414715163594
207;53;F05;2019;2;4;0,06643414715163594
208;53;F05;2019;3;7;0,1162597575153629
209;53;F05;2019;4;5;0,08304268393954493
210;53;F05;2019;5;10;0,16608536787908987
211;53;F05;2019;6;3;0,04982561036372695
212;53;F05;2019;7;4;0,06643414715163594
213;53;F05;2019;8;7;0,1162597575153629
214;53;F05;2019;9;10;0,16608536787908987
215;53;F05;2019;10;7;0,1162597575153629
216;53;F05;2019;11;2;0,03321707357581797
217;53;F05;2019;12;4;0,06643414715163594
218;53;F05;2020;1;8;0,16594067620825553
219;53;F05;2020;2;6;0,12445550715619166
220;53;F05;2020;3;5;0,10371292263015972
221;53;F05;2020;4;9;0,18668326073428748
222;53;F05;2020;5;5;0,10371292263015972
223;53;F05;2020;6;8;0,16594067620825553
224;53;F05;2020;7;3;0,06222775357809583
225;53;F05;2020;8;7;0,1451980916822236
226;53;F05;2020;9;4;0,08297033810412777
227;53;F05;2020;10;9;0,18668326073428748
228;53;F05;2020;11;6;0,12445550715619166
229;53;F05;2020;12;11;0,22816842978635138
230;53;F05;2021;1;10;0,20132876988121604
231;53;F05;2021;2;7;0,14093013891685122
232;53;F05;2021;3;2;0,040265753976243206
233;53;F05;2021;4;2;0,040265753976243206
234;53;F05;2021;5;3;0,06039863096436481
235;53;F05;2021;6;5;0,10066438494060802
236;53;F05;2021;7;2;0,040265753976243206
237;53;F05;2021;8;2;0,040265753976243206
238;53;F05;2021;9;8;0,16106301590497282
239;53;F05;2021;10;1;0,020132876988121603
240;53;F05;2021;11;3;0,06039863096436481
241;53;F05;2021;12;2;0,040265753976243206
242;53;F05;2022;1;1;0,018556318426424197
243;53;F05;2022;2;3;0,0556689552792726
244;53;F05;2022;3;1;0,018556318426424197
245;53;F05;2022;4;2;0,037112636852848394
246;53;F05;2022;5;3;0,0556689552792726
247;53;F05;2022;6;2;0,037112636852848394
248;53;F05;2022;7;1;0,018556318426424197
249;53;F05;2022;8;6;0,1113379105585452
250;53;F05;2022;9;6;0,1113379105585452
251;53;F05;2022;11;1;0,018556318426424197
252;53;F05;2022;12;3;0,0556689552792726
253;53;F06;2018;1;4;0,07815552950371239
254;53;F06;2018;2;1;0,019538882375928098
255;53;F06;2018;3;5;0,09769441187964048
256;53;F06;2018;4;3;0,058616647127784284
257;53;F06;2018;5;12;0,23446658851113714
258;53;F06;2018;6;15;0,29308323563892147
259;53;F06;2018;7;12;0,23446658851113714
260;53;F06;2018;8;17;0,33216100039077767
261;53;F06;2018;9;8;0,15631105900742479
262;53;F06;2018;10;9;0,1758499413833529
263;53;F06;2018;11;10;0,19538882375928096
264;53;F06;2018;12;6;0,11723329425556857
265;53;F06;2019;1;9;0,14947683109118087
266;53;F06;2019;2;21;0,3487792725460887
267;53;F06;2019;3;18;0,29895366218236175
268;53;F06;2019;4;3;0,04982561036372695
269;53;F06;2019;5;4;0,06643414715163594
270;53;F06;2019;6;9;0,14947683109118087
271;53;F06;2019;7;12;0,1993024414549078
272;53;F06;2019;8;2;0,03321707357581797
273;53;F06;2019;9;19;0,3155621989702707
274;53;F06;2019;10;9;0,14947683109118087
275;53;F06;2019;11;3;0,04982561036372695
276;53;F06;2019;12;18;0,29895366218236175
277;53;F06;2020;1;13;0,2696535988384153
278;53;F06;2020;2;18;0,37336652146857496
279;53;F06;2020;3;18;0,37336652146857496
280;53;F06;2020;4;17;0,352623936942543
281;53;F06;2020;5;7;0,1451980916822236
282;53;F06;2020;6;5;0,10371292263015972
283;53;F06;2020;7;7;0,1451980916822236
284;53;F06;2020;8;10;0,20742584526031943
285;53;F06;2020;9;13;0,2696535988384153
286;53;F06;2020;10;7;0,1451980916822236
287;53;F06;2020;11;7;0,1451980916822236
288;53;F06;2020;12;6;0,12445550715619166
289;53;F06;2021;1;9;0,18119589289309443
290;53;F06;2021;2;11;0,22146164686933761
291;53;F06;2021;3;10;0,20132876988121604
292;53;F06;2021;4;12;0,24159452385745925
293;53;F06;2021;5;18;0,36239178578618886
294;53;F06;2021;6;22;0,44292329373867523
295;53;F06;2021;7;2;0,040265753976243206
296;53;F06;2021;8;5;0,10066438494060802
297;53;F06;2021;9;10;0,20132876988121604
298;53;F06;2021;10;8;0,16106301590497282
299;53;F06;2021;11;9;0,18119589289309443
300;53;F06;2021;12;11;0,22146164686933761
301;53;F06;2022;1;10;0,18556318426424198
302;53;F06;2022;2;9;0,16700686583781776
303;53;F06;2022;3;8;0,14845054741139357
304;53;F06;2022;4;11;0,20411950269066617
305;53;F06;2022;5;9;0,16700686583781776
306;53;F06;2022;6;3;0,0556689552792726
307;53;F06;2022;7;7;0,12989422898496938
308;53;F06;2022;8;14;0,25978845796993877
309;53;F06;2022;9;9;0,16700686583781776
310;53;F06;2022;10;11;0,20411950269066617
311;53;F06;2022;11;19;0,3525700501020598
312;53;F06;2022;12;10;0,18556318426424198
313;53;F07;2018;1;1;0,019538882375928098
314;53;F07;2018;2;1;0,019538882375928098
315;53;F07;2018;3;1;0,019538882375928098
316;53;F07;2018;5;3;0,058616647127784284
317;53;F07;2018;6;1;0,019538882375928098
318;53;F07;2018;7;4;0,07815552950371239
319;53;F07;2018;8;4;0,07815552950371239
320;53;F07;2018;9;4;0,07815552950371239
321;53;F07;2018;10;2;0,039077764751856196
322;53;F07;2019;1;3;0,04982561036372695
323;53;F07;2019;2;1;0,016608536787908985
324;53;F07;2019;3;1;0,016608536787908985
325;53;F07;2019;4;1;0,016608536787908985
326;53;F07;2019;5;1;0,016608536787908985
327;53;F07;2019;7;2;0,03321707357581797
328;53;F07;2019;8;2;0,03321707357581797
329;53;F07;2019;9;1;0,016608536787908985
330;53;F07;2019;10;1;0,016608536787908985
331;53;F07;2019;12;2;0,03321707357581797
332;53;F07;2020;2;2;0,04148516905206388
333;53;F07;2020;3;2;0,04148516905206388
334;53;F07;2020;4;1;0,02074258452603194
335;53;F07;2020;5;1;0,02074258452603194
336;53;F07;2020;6;1;0,02074258452603194
337;53;F07;2020;11;1;0,02074258452603194
338;53;F07;2020;12;1;0,02074258452603194
339;53;F07;2021;1;1;0,020132876988121603
340;53;F07;2021;2;1;0,020132876988121603
341;53;F07;2021;5;1;0,020132876988121603
342;53;F07;2021;6;2;0,040265753976243206
343;53;F07;2021;7;3;0,06039863096436481
344;53;F07;2021;9;1;0,020132876988121603
345;53;F07;2021;10;1;0,020132876988121603
346;53;F07;2021;11;1;0,020132876988121603
347;53;F07;2021;12;2;0,040265753976243206
348;53;F07;2022;2;1;0,018556318426424197
