MUNICIPIO_CODIGO;MES_ANO;CAUSABAS;TOTAL_OBITOS
171650.0;04-2013;F10;1
171650.0;09-2013;F10;1
171820.0;11-2013;F10;1
171875.0;09-2013;F10;1
172015.0;09-2013;F10;1
172090.0;02-2013;F10;1
172100.0;01-2013;F10;2
172100.0;02-2013;F10;1
172100.0;05-2013;F10;1
172100.0;08-2013;F10;1
172100.0;12-2013;F10;2
172120.0;01-2013;F19;1
172120.0;02-2013;F10;1
172120.0;07-2013;F10;1
172120.0;10-2013;F10;1
210005.0;12-2013;F10;1
210040.0;04-2013;F10;1
210100.0;03-2013;F10;1
210120.0;02-2013;F10;2
210120.0;04-2013;F10;1
210120.0;07-2013;F10;1
210120.0;12-2013;F10;1
210150.0;01-2013;F10;1
210160.0;03-2013;F10;2
210160.0;09-2013;F10;1
210170.0;05-2013;F10;1
210170.0;09-2013;F10;1
210210.0;09-2013;F10;1
210280.0;07-2013;F10;1
210280.0;09-2013;F10;1
210290.0;03-2013;F10;1
210290.0;09-2013;F10;1
210300.0;01-2013;F10;1
210300.0;02-2013;F10;2
210300.0;11-2013;F10;1
210320.0;04-2013;F10;1
210320.0;05-2013;F10;1
210320.0;09-2013;F10;1
210320.0;11-2013;F10;1
210325.0;12-2013;F10;1
210330.0;05-2013;F10;1
210330.0;12-2013;F10;1
210340.0;01-2013;F10;1
210340.0;10-2013;F10;1
210340.0;12-2013;F10;1
210360.0;07-2013;F10;1
210375.0;01-2013;F10;1
210375.0;07-2013;F10;1
210380.0;04-2013;F10;1
210400.0;01-2013;F10;1
210410.0;10-2013;F10;1
210450.0;03-2013;F10;1
210455.0;05-2013;F10;1
210467.0;01-2013;F10;1
210467.0;10-2013;F10;1
210480.0;11-2013;F10;2
210530.0;01-2013;F10;1
210530.0;03-2013;F10;1
210530.0;04-2013;F10;1
210530.0;05-2013;F10;5
210530.0;06-2013;F10;1
210530.0;06-2013;F14;1
210530.0;09-2013;F10;1
210530.0;11-2013;F10;1
210530.0;12-2013;F10;1
210535.0;04-2013;F10;1
210540.0;02-2013;F10;1
210540.0;09-2013;F10;1
210560.0;08-2013;F10;1
210650.0;03-2013;F10;1
210690.0;05-2013;F10;1
210710.0;07-2013;F10;1
210730.0;10-2013;F10;1
210750.0;02-2013;F10;1
210845.0;11-2013;F10;1
210860.0;12-2013;F10;3
210905.0;10-2013;F10;1
210910.0;08-2013;F10;1
210970.0;08-2013;F10;1
210990.0;01-2013;F10;1
211010.0;05-2013;F10;2
211030.0;01-2013;F10;1
211120.0;01-2013;F10;1
211130.0;01-2013;F10;2
211130.0;02-2013;F10;2
211130.0;03-2013;F10;5
211130.0;04-2013;F10;2
211130.0;05-2013;F10;7
211130.0;06-2013;F10;3
211130.0;07-2013;F10;2
211130.0;08-2013;F10;1
211130.0;09-2013;F10;3
211130.0;10-2013;F10;2
211130.0;11-2013;F10;1
211130.0;12-2013;F10;2
211150.0;07-2013;F10;1
211176.0;12-2013;F10;1
211220.0;01-2013;F10;2
211220.0;02-2013;F10;1
211220.0;03-2013;F10;1
211220.0;04-2013;F10;1
211220.0;06-2013;F10;2
211220.0;07-2013;F10;1
211220.0;10-2013;F10;1
211220.0;11-2013;F10;1
211220.0;12-2013;F10;1
211250.0;09-2013;F10;1
211270.0;01-2013;F10;1
211280.0;09-2013;F10;1
211290.0;09-2013;F10;1
220040.0;07-2013;F10;2
220050.0;01-2013;F10;1
220060.0;06-2013;F10;1
